cluster[object],x[int64],y[int64]
c2,87,58
c2,60,34
c2,45,117
c2,126,7
c2,37,25
c2,43,33
c2,111,127
c2,98,77
c2,7,105
c2,58,68
c2,113,125
c2,120,82
c2,38,26
c2,127,7
c2,87,57
c2,110,0
c2,38,24
c2,60,35
c2,125,8
c2,44,32
c2,39,27
c2,44,117
c2,119,82
c2,110,1
c2,127,6
c2,119,81
c2,39,28
c2,125,6
c2,8,104
c2,86,59
c2,112,126
c2,36,25
c2,38,25
c2,37,23
c2,120,81
c2,118,82
c2,111,2
c2,40,29
c2,119,80
c2,109,127
c2,112,0
c2,61,36
c2,39,26
c2,38,28
c2,37,27
c2,119,83
c2,9,105
c2,124,9
c2,112,125
c2,37,26
c2,124,7
c2,41,29
c2,36,26
c2,59,35
c2,111,1
c2,112,127
c2,37,24
c2,36,22
c2,109,1
c2,121,80
c2,118,81
c2,38,29
c2,121,83
c2,36,24
c2,113,124
c2,110,2
c2,120,79
c2,108,126
c2,125,7
c2,122,80
c2,113,126
c2,35,25
c2,113,1
c2,111,0
c2,120,84
c2,37,29
c2,8,106
c2,113,0
c2,39,24
c2,118,80
c2,117,83
c2,114,125
c2,37,22
c2,125,10
c2,118,83
c2,109,3
c2,9,106
c2,38,30
c2,38,23
c2,110,126
c2,112,1
c2,120,85
c2,114,0
c2,37,28
c2,113,127
c2,117,82
c2,35,24
c2,39,29
c2,6,104
c2,108,4
c2,118,84
c2,121,79
c2,111,126
c2,120,78
c2,7,106
c2,123,8
c2,36,23
c2,115,127
c2,119,85
c2,113,123
c2,110,125
c2,127,8
c2,114,1
c2,114,127
c2,107,3
c2,40,26
c2,34,24
c2,113,2
c2,121,86
c2,110,3
c2,121,77
c2,36,27
c2,6,105
c2,5,103
c2,38,22
c2,115,1
c2,109,2
c2,36,28
c2,115,0
c2,117,84
c2,122,79
c2,120,87
c2,119,86
c2,116,83
c2,116,127
c2,120,76
c2,35,27
c2,115,2
c2,106,3
c2,120,77
c2,121,87
c2,118,87
c2,108,2
c2,121,78
c2,116,1
c2,35,23
c2,114,3
c2,109,126
c2,108,3
c2,105,4
c2,39,23
c2,118,85
c2,39,30
c2,115,84
c2,119,75
c2,107,2
c2,122,77
c2,117,85
c2,122,78
c2,117,0
c2,122,85
c2,116,0
c2,107,4
c2,119,76
c2,122,88
c2,8,107
c2,118,88
c2,119,87
c2,61,35
c2,118,74
c2,123,77
c2,124,11
c2,116,3
c2,122,76
c2,116,126
c2,44,28
c2,116,84
c2,41,30
c2,108,1
c2,121,75
c2,117,127
c2,122,86
c2,117,126
c2,121,88
c2,120,88
c2,123,85
c2,115,3
c2,106,2
c2,40,30
c2,107,5
c2,8,103
c2,122,74
c2,106,4
c2,108,125
c2,124,77
c2,118,2
c2,0,7
c2,106,1
c2,123,88
c2,120,74
c2,122,87
c2,116,4
c2,118,0
c2,123,76
c2,119,74
c2,123,86
c2,121,89
c2,123,78
c2,118,76
c2,123,75
c2,123,87
c2,118,75
c2,116,5
c2,122,89
c2,105,2
c2,124,76
c2,117,76
c2,124,86
c2,124,87
c2,122,75
c2,104,4
c2,119,73
c2,124,74
c2,106,5
c2,119,89
c2,121,74
c2,124,85
c2,125,76
c2,117,87
c2,108,127
c2,117,75
c2,118,1
c2,120,73
c2,123,84
c2,9,102
c2,116,85
c2,124,88
c2,118,126
c2,124,8
c2,117,89
c2,122,73
c2,105,1
c2,119,72
c2,119,1
c2,9,103
c2,125,75
c2,116,88
c2,121,73
c2,119,127
c2,107,0
c2,124,75
c2,111,124
c2,116,74
c2,118,3
c2,117,77
c2,104,2
c2,122,72
c2,124,89
c2,119,0
c2,118,73
c2,119,125
c2,106,0
c2,125,88
c2,120,0
c2,125,77
c2,121,72
c2,118,90
c2,126,6
c2,117,73
c2,105,6
c2,115,86
c2,120,90
c2,118,125
c2,104,0
c2,120,72
c2,117,74
c2,123,90
c2,116,75
c2,122,90
c2,126,5
c2,115,6
c2,116,76
c2,119,126
c2,119,124
c2,103,3
c2,126,75
c2,125,85
c2,107,127
c2,104,3
c2,125,74
c2,125,87
c2,121,91
c2,125,78
c2,121,71
c2,122,91
c2,117,72
c2,123,91
c2,115,87
c2,104,6
c2,8,102
c2,126,77
c2,103,4
c2,115,74
c2,121,127
c2,120,127
c2,107,126
c2,120,1
c2,103,1
c2,120,125
c2,106,6
c2,10,101
c2,116,71
c2,120,71
c2,125,86
c2,123,72
c2,123,92
c2,120,124
c2,98,76
c2,116,72
c2,121,0
c2,105,127
c2,126,89
c2,34,25
c2,116,73
c2,103,2
c2,124,79
c2,116,6
c2,115,75
c2,121,92
c2,114,75
c2,120,2
c2,121,125
c2,119,123
c2,117,71
c2,117,90
c2,126,74
c2,110,124
c2,115,72
c2,102,3
c2,127,88
c2,115,89
c2,126,86
c2,103,5
c2,126,88
c2,102,1
c2,122,0
c2,126,76
c2,120,70
c2,117,70
c2,124,93
c2,104,7
c2,116,87
c2,121,1
c2,7,102
c2,114,7
c2,127,89
c2,39,21
c2,106,126
c2,106,125
c2,102,2
c2,102,4
c2,122,1
c2,126,90
c2,126,79
c2,103,127
c2,111,123
c2,109,124
c2,126,85
c2,114,85
c2,10,102
c2,34,23
c2,102,0
c2,119,69
c2,115,73
c2,101,4
c2,107,125
c2,108,0
c2,119,71
c2,118,123
c2,125,80
c2,105,124
c2,120,123
c2,122,93
c2,124,73
c2,126,87
c2,102,126
c2,123,127
c2,113,75
c2,122,127
c2,106,7
c2,122,2
c2,127,78
c2,115,71
c2,105,126
c2,112,124
c2,0,88
c2,119,70
c2,101,5
c2,127,91
c2,114,74
c2,121,69
c2,114,72
c2,117,124
c2,124,91
c2,121,2
c2,108,124
c2,101,1
c2,9,101
c2,104,5
c2,112,123
c2,122,126
c2,121,68
c2,6,101
c2,105,125
c2,127,77
c2,101,127
c2,104,123
c2,123,1
c2,125,94
c2,113,74
c2,114,73
c2,108,6
c2,125,73
c2,127,74
c2,0,8
c2,118,69
c2,114,70
c2,0,90
c2,101,0
c2,109,123
c2,107,124
c2,124,126
c2,102,5
c2,125,79
c2,100,0
c2,118,91
c2,113,76
c2,127,75
c2,113,73
c2,104,125
c2,127,86
c2,109,0
c2,107,123
c2,127,92
c2,103,124
c2,0,89
c2,121,124
c2,127,87
c2,117,91
c2,115,70
c2,125,127
c2,124,127
c2,118,70
c2,10,100
c2,114,86
c2,115,90
c2,0,87
c2,108,123
c2,100,2
c2,114,69
c2,1,89
c2,117,7
c2,122,92
c2,122,67
c2,125,126
c2,107,7
c2,123,2
c2,44,34
c2,121,3
c2,103,122
c2,1,90
c2,1,88
c2,122,125
c2,110,123
c2,117,69
c2,103,125
c2,100,127
c2,116,69
c2,101,6
c2,124,92
c2,124,0
c2,107,122
c2,119,68
c2,122,68
c2,103,6
c2,102,6
c2,118,71
c2,123,125
c2,122,94
c2,1,87
c2,125,1
c2,123,68
c2,125,0
c2,115,7
c2,117,68
c2,124,94
c2,102,123
c2,120,68
c2,37,30
c2,120,3
c2,0,77
c2,109,122
c2,126,126
c2,122,3
c2,10,105
c2,2,90
c2,99,127
c2,104,122
c2,123,124
c2,122,124
c2,107,121
c2,118,67
c2,123,67
c2,0,75
c2,127,93
c2,107,8
c2,124,2
c2,2,89
c2,106,8
c2,120,67
c2,112,75
c2,123,93
c2,120,4
c2,124,1
c2,108,121
c2,124,71
c2,105,121
c2,103,121
c2,98,0
c2,2,88
c2,121,93
c2,127,125
c2,124,70
c2,126,1
c2,121,122
c2,2,87
c2,126,0
c2,2,86
c2,116,68
c2,103,120
c2,114,68
c2,103,7
c2,123,94
c2,106,120
c2,115,69
c2,0,94
c2,101,126
c2,104,121
c2,126,80
c2,105,8
c2,102,121
c2,127,126
c2,122,123
c2,125,95
c2,9,100
c2,125,2
c2,121,95
c2,121,66
c2,126,124
c2,3,89
c2,11,102
c2,123,123
c2,125,93
c2,102,120
c2,108,120
c2,100,125
c2,0,93
c2,116,91
c2,121,94
c2,117,67
c2,117,66
c2,3,87
c2,98,126
c2,113,69
c2,127,0
c2,102,119
c2,115,67
c2,101,7
c2,0,78
c2,109,121
c2,105,120
c2,1,95
c2,99,126
c2,118,66
c2,0,125
c2,107,120
c2,98,1
c2,103,119
c2,115,8
c2,125,3
c2,108,8
c2,0,127
c2,99,125
c2,114,67
c2,3,88
c2,116,66
c2,38,31
c2,118,65
c2,120,93
c2,124,69
c2,103,118
c2,101,122
c2,115,68
c2,115,77
c2,108,119
c2,109,120
c2,0,126
c2,1,76
c2,6,102
c2,4,88
c2,0,124
c2,102,7
c2,116,8
c2,104,118
c2,124,68
c2,1,93
c2,100,6
c2,1,85
c2,122,122
c2,127,124
c2,101,121
c2,117,92
c2,117,64
c2,99,124
c2,1,0
c2,102,118
c2,126,123
c2,100,122
c2,113,70
c2,113,66
c2,124,123
c2,126,2
c2,121,65
c2,97,2
c2,101,119
c2,3,86
c2,116,7
c2,119,5
c2,106,119
c2,1,123
c2,119,65
c2,113,67
c2,103,117
c2,100,120
c2,110,119
c2,101,118
c2,124,3
c2,99,123
c2,123,122
c2,125,96
c2,104,117
c2,127,79
c2,108,9
c2,101,117
c2,0,0
c2,112,70
c2,4,87
c2,2,125
c2,123,3
c2,103,116
c2,40,21
c2,1,126
c2,100,118
c2,102,117
c2,126,3
c2,98,122
c2,0,123
c2,111,75
c2,99,119
c2,127,123
c2,122,66
c2,102,8
c2,0,79
c2,112,68
c2,105,119
c2,104,116
c2,101,116
c2,126,93
c2,1,125
c2,2,122
c2,126,94
c2,100,117
c2,123,69
c2,104,115
c2,114,90
c2,118,8
c2,99,118
c2,2,126
c2,112,69
c2,108,10
c2,99,120
c2,125,67
c2,105,117
c2,114,65
c2,124,122
c2,0,1
c2,86,57
c2,1,124
c2,106,118
c2,114,64
c2,4,86
c2,109,8
c2,102,115
c2,120,94
c2,105,118
c2,100,116
c2,103,115
c2,113,65
c2,111,69
c2,116,64
c2,127,95
c2,111,120
c2,0,86
c2,105,9
c2,0,9
c2,101,124
c2,5,86
c2,111,68
c2,125,122
c2,3,125
c2,0,85
c2,110,69
c2,98,118
c2,121,121
c2,106,9
c2,1,7
c2,6,85
c2,110,68
c2,2,123
c2,1,122
c2,98,117
c2,106,115
c2,115,9
c2,6,86
c2,105,116
c2,5,87
c2,113,64
c2,33,24
c2,117,9
c2,0,80
c2,99,116
c2,106,10
c2,125,123
c2,106,116
c2,115,91
c2,127,9
c2,7,84
c2,105,114
c2,104,114
c2,7,85
c2,107,115
c2,107,10
c2,3,124
c2,105,113
c2,96,2
c2,8,84
c2,7,87
c2,108,114
c2,2,84
c2,102,114
c2,104,9
c2,108,115
c2,111,71
c2,115,92
c2,45,32
c2,106,114
c2,124,121
c2,127,94
c2,8,87
c2,107,114
c2,105,112
c2,8,83
c2,126,122
c5,4,70
c5,10,113
c5,67,66
c5,49,104
c5,11,112
c5,3,70
c5,3,71
c5,5,69
c5,5,71
c5,6,70
c5,3,69
c5,4,68
c5,2,69
c5,6,71
c5,7,71
c5,2,68
c5,2,70
c5,2,71
c5,6,72
c5,5,68
c5,7,72
c5,4,67
c5,7,70
c5,1,68
c5,6,67
c5,5,72
c5,3,67
c5,4,72
c5,5,66
c5,6,73
c5,1,67
c5,1,69
c5,2,67
c5,3,66
c5,1,72
c5,5,65
c5,1,70
c5,5,73
c5,2,72
c5,0,66
c5,4,73
c5,1,66
c5,6,65
c5,7,74
c5,1,73
c5,3,73
c5,7,73
c5,0,69
c5,6,66
c5,2,73
c5,4,66
c5,8,73
c5,4,74
c5,6,75
c5,0,68
c5,1,71
c5,9,74
c5,8,75
c5,127,66
c5,3,65
c5,3,74
c5,7,66
c5,4,65
c5,8,74
c5,9,73
c5,5,76
c5,7,65
c5,8,65
c5,127,67
c5,0,72
c5,127,69
c5,9,75
c5,127,72
c5,126,70
c5,127,70
c5,1,74
c5,0,65
c5,126,71
c5,126,69
c5,2,74
c5,10,74
c5,2,75
c5,4,75
c5,1,65
c5,6,76
c5,10,73
c5,1,64
c5,127,71
c5,6,77
c5,0,73
c5,125,70
c5,126,72
c5,9,76
c5,125,72
c5,0,74
c5,127,65
c5,2,63
c5,127,73
c5,126,73
c5,1,63
c5,8,64
c5,3,76
c5,8,76
c5,2,76
c5,50,103
c5,126,64
c5,3,63
c5,0,63
c5,1,75
c5,126,65
c5,2,62
c5,11,74
c5,9,64
c5,1,62
c5,4,63
c5,10,76
c5,5,63
c5,10,75
c5,3,77
c5,125,65
c5,9,77
c5,10,77
c5,6,62
c5,2,61
c5,6,78
c5,3,62
c5,0,61
c5,11,76
c5,0,62
c5,126,63
c5,126,66
c5,5,62
c5,4,61
c5,6,61
c5,125,66
c1,39,25
c1,102,116
c1,19,82
c1,2,65
c1,120,59
c1,16,90
c1,4,62
c1,53,75
c1,38,114
c1,84,14
c1,1,78
c1,37,115
c1,83,15
c1,19,81
c1,2,66
c1,1,77
c1,119,58
c1,84,13
c1,83,14
c1,83,13
c1,82,13
c1,85,14
c1,85,15
c1,82,14
c1,82,15
c1,86,15
c1,81,13
c1,40,24
c1,85,13
c1,83,12
c1,86,13
c1,85,12
c1,84,12
c1,82,12
c1,85,16
c1,81,16
c1,38,113
c1,85,11
c1,81,15
c1,84,16
c1,85,17
c1,81,17
c1,86,12
c1,86,16
c1,84,11
c1,83,16
c1,81,14
c1,81,12
c1,85,18
c1,0,76
c1,81,18
c1,80,15
c1,86,17
c1,80,14
c1,82,11
c1,37,114
c1,87,17
c1,80,19
c1,82,18
c1,79,15
c1,83,10
c1,82,19
c1,81,11
c1,80,20
c1,80,18
c1,83,18
c1,79,20
c1,80,13
c1,78,15
c1,86,11
c1,88,17
c1,80,12
c1,81,19
c1,84,19
c1,83,17
c1,83,11
c1,87,18
c1,80,11
c1,79,13
c1,82,20
c1,79,21
c1,78,14
c1,82,10
c1,84,18
c1,83,20
c1,79,12
c1,86,18
c1,79,19
c1,85,19
c1,37,113
c1,88,18
c1,78,13
c1,78,11
c1,81,20
c1,84,21
c1,80,22
c1,89,17
c1,85,20
c1,83,9
c1,82,9
c1,83,19
c1,86,19
c1,5,61
c1,78,16
c1,77,12
c1,78,12
c1,84,10
c1,85,21
c1,77,14
c1,78,21
c1,77,13
c1,86,10
c1,86,20
c1,88,19
c1,87,19
c1,85,22
c1,86,21
c1,76,14
c1,41,24
c1,17,91
c1,76,13
c1,87,21
c1,87,20
c1,86,22
c1,79,11
c1,88,20
c1,75,15
c1,79,10
c1,1,79
c1,83,8
c1,87,22
c6,54,102
c6,89,22
c6,24,27
c6,30,109
c6,53,101
c6,25,26
c6,30,110
c6,29,111
c6,25,27
c6,31,108
c6,54,100
c6,24,28
c6,54,101
c6,26,27
c6,25,28
c6,24,25
c6,24,26
c6,23,29
c6,26,28
c6,26,25
c6,23,28
c6,23,26
c6,27,28
c6,25,29
c6,30,112
c6,23,25
c6,22,30
c6,23,27
c6,22,29
c6,22,26
c6,53,100
c6,22,28
c6,52,100
c6,53,99
c6,25,25
c6,54,99
c6,21,25
c6,23,24
c6,51,100
c6,22,25
c6,22,27
c6,53,98
c6,54,98
c6,28,29
c6,21,29
c6,21,28
c6,52,97
c6,52,99
c6,21,27
c6,50,99
c6,24,24
c6,52,98
c6,55,97
c6,51,99
c6,54,97
c6,55,98
c6,51,98
c6,29,110
c6,26,24
c6,50,98
c6,56,97
c6,55,100
c6,27,29
c6,56,99
c6,54,96
c6,20,26
c6,51,101
c6,56,98
c6,20,27
c6,55,96
c6,51,97
c6,55,101
c6,56,100
c6,21,26
c6,54,95
c6,20,25
c6,56,102
c6,55,94
c6,21,31
c6,50,97
c6,56,95
c6,57,102
c6,53,95
c6,54,94
c6,50,100
c6,20,24
c6,55,93
c6,56,103
c6,19,23
c6,19,24
c6,57,94
c6,57,104
c6,54,93
c6,18,22
c6,58,103
c6,20,23
c6,57,103
c6,50,101
c6,18,25
c6,57,100
c6,58,102
c6,56,94
c6,18,24
c6,17,24
c6,20,22
c6,53,93
c6,17,23
c6,58,101
c6,58,105
c6,59,102
c6,58,104
c6,16,24
c6,20,29
c6,15,24
c6,57,105
c6,16,25
c6,59,101
c6,59,103
c6,16,23
c0,22,102
c0,92,97
c0,125,22
c0,49,87
c0,112,18
c0,39,73
c0,11,33
c0,110,95
c0,35,39
c0,15,47
c0,72,120
c0,64,103
c0,88,10
c0,120,14
c0,13,50
c0,75,122
c0,20,46
c0,39,85
c0,60,50
c0,0,70
c0,86,100
c0,28,7
c0,116,57
c0,22,4
c0,96,124
c0,101,109
c0,31,54
c0,70,26
c0,49,19
c0,41,74
c0,87,87
c0,95,70
c0,56,31
c0,125,64
c0,5,39
c0,9,66
c0,76,50
c0,105,5
c0,24,33
c0,9,91
c0,72,30
c0,30,120
c0,95,6
c0,111,17
c0,120,47
c0,37,86
c0,113,22
c0,19,18
c0,112,9
c0,124,45
c0,110,55
c0,48,113
c0,96,25
c0,81,23
c0,53,24
c0,39,56
c0,64,102
c0,111,95
c0,28,6
c0,38,74
c0,21,47
c0,38,85
c0,38,57
c0,29,120
c0,97,125
c0,113,9
c0,36,85
c0,75,50
c0,86,87
c0,71,29
c0,38,87
c0,111,9
c0,77,50
c0,74,50
c0,117,57
c0,111,8
c0,76,49
c0,110,8
c0,123,46
c0,49,114
c0,110,96
c0,35,85
c0,39,88
c0,98,124
c0,70,28
c0,14,48
c0,71,31
c0,50,19
c0,109,95
c0,98,123
c0,39,55
c0,74,51
c0,89,11
c0,97,124
c0,97,123
c0,55,31
c0,109,96
c0,38,86
c0,124,21
c4,41,69
c4,110,51
c4,69,67
c4,114,26
c4,33,10
c4,2,120
c4,117,38
c4,23,38
c4,33,78
c4,23,16
c4,114,25
c4,70,66
c4,32,10
c4,110,52
c4,24,17
c4,113,25
c4,113,26
c4,33,9
c4,62,96
c4,114,24
c4,31,11
c4,112,27
c4,109,50
c4,24,16
c4,115,25
c4,32,11
c4,23,17
c4,115,24
c4,110,49
c4,34,10
c4,113,27
c4,31,10
c4,31,12
c4,109,51
c4,118,38
c4,111,52
c4,35,9
c4,24,18
c4,30,9
c4,112,25
c4,113,28
c4,30,13
c4,115,26
c4,32,12
c4,114,27
c4,36,8
c4,30,12
c4,29,10
c4,30,10
c4,69,66
c4,24,15
c4,29,8
c4,34,8
c4,35,11
c4,31,13
c4,112,29
c4,29,14
c4,36,9
c4,116,26
c4,29,12
c4,69,68
c4,29,11
c4,112,24
c4,32,14
c4,30,14
c4,28,13
c4,35,7
c4,116,27
c4,114,28
c4,33,8
c4,32,15
c4,30,15
c4,115,27
c4,30,8
c4,37,9
c4,36,11
c4,111,28
c4,28,10
c4,36,7
c4,31,8
c4,111,48
c3,118,78
c3,13,113
c3,78,79
c3,61,96
c3,52,95
c3,50,14
c3,61,9
c3,4,34
c3,116,12
c3,37,82
c3,76,65
c3,74,69
c3,108,112
c3,101,78
c3,119,77
c3,14,112
c3,52,94
c3,15,113
c3,12,113
c3,8,117
c3,14,114
c3,12,112
c3,115,11
c3,13,112
c3,16,113
c3,11,113
c3,14,113
c3,60,95
c3,13,114
c3,13,111
c3,12,111
c3,17,114
c3,11,111
c3,10,112
c3,15,112
c3,11,114
c3,15,111
c3,12,115
c3,14,110
c3,17,112
c3,9,112
c3,116,11
c3,13,109
c3,10,111
c3,12,110
c3,12,108
c3,11,109
c3,12,109
c3,10,108
c3,10,109
c3,13,108
c3,117,13
c3,9,108
c3,10,107
c3,11,110
c3,9,107
c3,9,109
c3,116,13
c3,10,106
c3,11,107
c3,8,109
c3,11,106
c3,8,108
c3,12,107
c3,18,115
c3,11,105
c3,13,106
c3,12,104
c3,12,105
c3,118,14
c3,117,11
c3,11,104
c3,7,108
c3,6,109
c3,10,104
c3,6,108
c3,59,96
c3,6,110
c3,118,13
c7,96,35
c7,5,125
c7,91,5
c7,97,36
c7,92,5
c7,96,36
c7,92,6
c7,96,37
c7,93,5
c7,95,37
c7,95,36
c7,97,35
c7,95,38
c7,92,4
c7,96,38
c7,94,36
c7,97,37
c7,95,39
c7,93,6
c7,94,35
c7,94,4
c7,94,38
c7,98,36
c7,96,39
c7,95,35
c7,93,36
c7,94,40
c7,94,39
c7,92,37
c7,95,40
c7,98,37
c7,24,46
c7,93,4
c7,93,39
c7,93,35
c7,92,35
c7,91,37
c7,96,40
c7,95,41
c7,92,34
c7,92,36
c7,91,36
c7,91,35
c7,95,42
c7,94,34
c7,92,33
c7,94,42
c7,95,34
c7,92,32
c7,91,38
c7,91,33
c7,90,39
c7,90,36
c7,91,32
c7,89,39
c7,90,38
c7,89,37
c7,89,38
c7,90,37
c7,88,37
c7,96,41
c7,88,39
c7,89,36
c7,98,35
c7,88,40
c7,91,40
c7,87,39
c7,87,41
c7,90,35
c7,87,40
c7,90,6
c7,88,35
c7,86,39
c7,94,5
c7,94,33
